,id,value_x,value_y,group,language,follower,friend,time
96,1395207085873262593,@Michael31876194 @Michael62641908 @FootyonNine The question is which young forward would you rather on your team...â€¦ https://t.co/ndGEiu6pXo,0.1,west,en,21,212,Thu May 20 02:37:45 +0000 2021
97,1395207217645711363,"Finally back at the races today with my little dude, long time between runs now but had a tick over trial last weekâ€¦ https://t.co/j1RIKl2L5k",-0.059375,west,en,141,426,Thu May 20 02:38:17 +0000 2021
98,1395211478576156673,Lakers are a mess rn,-0.175,west,en,254,613,Thu May 20 02:55:12 +0000 2021
99,1395213294219104258,"I trust Frank, but this persistence with Drummond is strange",-0.05,west,en,254,613,Thu May 20 03:02:25 +0000 2021
100,1395213296492453888,"@Moondarra @MsLisaHerbert @CommBank @Telstra Neil, apologies for not getting back. I've still got that slow combustâ€¦ https://t.co/KlMsSs4jop",-0.15000000000000002,west,en,1863,2405,Thu May 20 03:02:26 +0000 2021
101,1395215222286159874,Is there anything better than watching the Lakers play terrible basketball??? #NBAPlayoffs #NBA https://t.co/bd52u6E6qP,-0.25,west,en,411,1315,Thu May 20 03:10:05 +0000 2021
102,1395217136851722241,"Dennis, AD and Lebron are a combined 4/28 from the field. 

That is insane",-1.0,west,en,254,613,Thu May 20 03:17:41 +0000 2021
103,1395217533607628801,Good news for the Lakers - you canâ€™t play any worse and youâ€™re a 3 minute burst from the lead,0.14999999999999997,west,en,254,613,Thu May 20 03:19:16 +0000 2021
104,1395219293894152194,@railmaps Ready for my close up Mr De Mille.,0.2,west,en,213,2036,Thu May 20 03:26:16 +0000 2021
105,1395220758784188420,"@chadneylon All of Lowndesy's answers include the word ""obviously"". A better game is Obviously bingo.",0.033333333333333326,west,en,190,1534,Thu May 20 03:32:05 +0000 2021
106,1395221079371575302,"@james_small Very sad, I drive past it weekly, all I can do is reminisce about AUSCAR &amp; NASCAR days spent there.",-0.3333333333333333,west,en,190,1534,Thu May 20 03:33:21 +0000 2021
107,1395221901220278274,@sheepGeekCP I'd kill for a ewe that good,0.7,west,en,1863,2405,Thu May 20 03:36:37 +0000 2021
108,1395222097824157699,"@AdamCoffeyNT Country kids are fit and can run...
Congrats",0.4,west,en,1863,2405,Thu May 20 03:37:24 +0000 2021
109,1395222872444915717,"@landry235 @peta Yes, a very good question. 
They're like Christians  - do as I say not as I do!",1.0,west,en,1863,2405,Thu May 20 03:40:29 +0000 2021
110,1395222885753520133,Steph foul hunting already. Sad,-0.5,west,en,254,613,Thu May 20 03:40:32 +0000 2021
111,1395223870005604352,"@jonkudelka @MSMWatchdog2013 LNP promises are worth nothing. 
It won't be built. 
Just a brain fart to change the discussion of the day.....",0.3,west,en,1863,2405,Thu May 20 03:44:27 +0000 2021
112,1395224023949189120,Drummond touches the ball and bad things happen,-0.6999999999999998,west,en,254,613,Thu May 20 03:45:03 +0000 2021
113,1395225447873409029,"BREAKING: ğŸ“£ As part of #budget2021 weâ€™re funding StAlbans East Primary School, delivering a massive $7.92 Million!â€¦ https://t.co/v4U1mu2iNz",0.2,west,en,2253,760,Thu May 20 03:50:43 +0000 2021
