,id,value_x,value_y,group,language,follower,friend,time
61,1394966826812063751,@AnnastaciaMP @gracextwo As many as possible about children surviving death in Gaza!!! https://t.co/naGyRs0eKR,0.25,east,en,35,29,Wed May 19 10:43:03 +0000 2021
62,1394966874681712647,@dfg77 @_AmyGray_ @NetflixANZ And the actress playing said character died young at just 28. https://t.co/oMKs4vQgBq,0.1,east,en,354,1765,Wed May 19 10:43:14 +0000 2021
63,1394966950762123269,"So true seems like all was planned and set up to murder SSR 

CBI 302 In SSR Case by June https://t.co/1QdevJSlEB",0.35,east,en,816,1700,Wed May 19 10:43:32 +0000 2021
64,1394967076100575232,"Yep, not only does Morrison refuse to take any action to help fellow Australians, but he actively delights in his oâ€¦ https://t.co/39fvygPmkV",-0.011111111111111108,east,en,1604,2750,Wed May 19 10:44:02 +0000 2021
65,1394967113060786177,@thespecialbka @boxcarfred my friend NASA Dave is still working on The Book: the complete history of NZ punk and post-punk,0.1,east,en,2799,3193,Wed May 19 10:44:11 +0000 2021
66,1394967322402643969,"Eeeeek! So excited about our new family members ğŸ’›
And perfect timing for the knitters in Cambodia.â€¦ https://t.co/ns5CA6Eb3d",0.5037878787878788,east,en,18,57,Wed May 19 10:45:01 +0000 2021
67,1394967612803715075,@HandmaidsOnHulu episode 6 was overwhelming and beautiful. Iâ€™ve just managed to stop the tears. Elisabeth Moss trulâ€¦ https://t.co/7cCCOo3tMj,0.675,east,en,244,513,Wed May 19 10:46:10 +0000 2021
68,1394967945697185794,Its not too late to attend the Architeam conference. https://t.co/xHNrYCP676,-0.3,east,en,837,562,Wed May 19 10:47:30 +0000 2021
69,1394968118427099136,@TraderJoeTrades So Accurate! ğŸ˜‚,0.5000000000000001,east,it,790,383,Wed May 19 10:48:11 +0000 2021
70,1394968276204199939,@LindasTravels1 Thank you my special friend â�¤,0.35714285714285715,east,en,7833,2525,Wed May 19 10:48:48 +0000 2021
71,1394968307560763396,@birdemergency Thanks Grant!,0.25,east,en,114,144,Wed May 19 10:48:56 +0000 2021
72,1394968414834380804,@TheLynnSavage It was amazing. I canâ€™t wait to get a few more for myself.,0.30000000000000004,east,en,670,815,Wed May 19 10:49:22 +0000 2021
